"Lokalitet";"habitat";"ano_flate_id";"ano_punkt_id";"combi";"Lat";"lon";"method";"sample";"sampling_scheme";"extraction_method";"sample_weight";"seq_depth";"variable";"species";"value"
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"geitrams_chamerion_angustifolium";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"maigull_chrysosplenium_alternifolium";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"maigullslekta_chrysosplenium_sp.";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"huldregras_cinna_latifolia";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"åkertistel_cirsium_arvense";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"hvitbladtistel_cirsium_heterophyllum";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"veitistelslekta_cirsium_sp.";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"myrhatt_comarum_palustre";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"galium_concinnum";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"sumphaukeskjegg_crepis_paludosa";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"hundegras_dactylis_glomerata";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"sølvbunke_deschampsia_cespitosa_cespitosa";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"bunkeslekta_deschampsia_sp.";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"skogjamne_diphasiastrum_complanatum_complanatum";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"skogsvingel_drymochloa_sylvatica";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"broddtelg_dryopteris_carthusiana";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"ormetelg_dryopteris_filix.mas";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"kveke_elymus_repens";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"krekling_empetrum_nigrum";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"dvergmjølke_epilobium_anagallidifolium";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"åkersnelle_equisetum_arvense";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"engsnelle_equisetum_pratense";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"skogsnelle_equisetum_sylvaticum";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"duskmyrull_eriophorum_angustifolium";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"torvmyrull_eriophorum_vaginatum";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"fjelløyentrøst_euphrasia_wettsteinii";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"sauesvingel_festuca_ovina";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"rødsvingel_festuca_rubra";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"mjødurt_filipendula_ulmaria";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"markjordbær_fragaria_vesca";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"ask_fraxinus_excelsior";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"stormaure_galium_alba";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"hvitmaure_galium_boreale";0
